category;article;title;price;discount_price;discount_sign;in_stock;description;brand;url_image
Проекционное оборудование;1009750;Проектор Optoma X355;40629;30472;1;5;"Вес (кг): 2.52; Габариты (мм): 96.5x298x230; поддержка 3D; Обратная; Коррекция трапеции; Оптическое увеличение (x): 1.3; Фокусировка: ручная; Диагональ изображения (м): 0.78 – 7.65; Макс. растояние (м): 9.1; Мин. растояние (м): 1.2; Форматы изображения: 4:3, 16:9; Разрешение (пикс): 1024x768; Динамическая контрастность: 22 000:1";Optoma;http://magazilla.ru/jpg_zoom1/1009750.jpg http://mzimg.com/big/f1/fazpycj21f1.jpg http://mzimg.com/big/v1/fazpyk1jvv1.jpg http://mzimg.com/big/g1/fazpyrpusg1.jpg http://mzimg.com/big/g1/fazpywk3eg1.jpg
Проекционное оборудование;1010004;Проектор Optoma W345;39888;33905;1;5;"Вес (кг): 2.41; Габариты (мм): 96.5x298x230; поддержка 3D; Обратная; Коррекция трапеции; Оптическое увеличение (x): 1.3; Фокусировка: ручная; Диагональ изображения (м): 0.95 – 7.65; Макс. растояние (м): 7.7; Мин. растояние (м): 1.2; Форматы изображения: 16:10, 4:3, 16:9; Разрешение (пикс): 1280x800";Optoma;http://magazilla.ru/jpg_zoom1/1010004.jpg http://mzimg.com/big/p1/fazskafp9p1.jpg http://mzimg.com/big/d1/fazskoajgd1.jpg http://mzimg.com/big/71/fazskts9471.jpg http://mzimg.com/big/h1/fazskyorph1.jpg
Проекционное оборудование;1010025;Проектор Optoma EH345;55550;55550;0;4;"Вес (кг): 2.47; Габариты (мм): 96.5x298x230; поддержка 3D; Обратная; Коррекция трапеции; Оптическое увеличение (x): 1.3; Фокусировка: ручная; Диагональ изображения (м): 1.01 – 7.62; Макс. растояние (м): 7.5; Мин. растояние (м): 1.3; Форматы изображения: 16:10, 4:3, 16:9; Разрешение (пикс): 1920x1080";Optoma;http://magazilla.ru/jpg_zoom1/1010025.jpg http://mzimg.com/big/41/fazt126fs41.jpg http://mzimg.com/big/p1/fazt1adxqp1.jpg http://mzimg.com/big/k1/fazt1v31hk1.jpg http://mzimg.com/big/p1/fazt22kyhp1.jpg
ТВ антенны;1048598;ТВ антенна Antex CIFRA-9;1661;1246;1;13;"Изменяемый угол наклона; Усилитель; Частотный диапазон UHF (МГц): 470 – 750; Коэффициент усиления (дБ): 9.5; Тип установки: уличная; DVB-T/T2; Аналоговое ТВ";Antex;http://magazilla.ru/jpg_zoom1/1048598.jpg http://mzimg.com/big/e1/fcq4u3zwye1.jpg http://mzimg.com/big/41/fcq4ulhyi41.jpg http://mzimg.com/big/t1/fcq4v2unct1.jpg
ТВ антенны;1048626;ТВ антенна Antex CIFRA-6;1355;1152;1;13;"Изменяемый угол наклона; Усилитель; Частотный диапазон UHF (МГц): 470 – 790; Коэффициент усиления (дБ): 7; Тип установки: уличная; DVB-T/T2; Аналоговое ТВ";Antex;http://magazilla.ru/jpg_zoom1/1048626.jpg http://mzimg.com/big/m1/fcq5c4yf0m1.jpg http://mzimg.com/big/s1/fcq5c5jd0s1.jpg http://mzimg.com/big/41/fcq5c5re341.jpg http://mzimg.com/big/e1/fcq5c6gkae1.jpg http://mzimg.com/big/31/fcq5c72s931.jpg http://mzimg.com/big/y1/fcq5c82fry1.jpg
ТВ антенны;1048880;ТВ антенна Antex CIFRA-12;3188;3188;0;15;"Изменяемый угол наклона; Усилитель; Частотный диапазон UHF (МГц): 470 – 790; Коэффициент усиления (дБ): 12; Тип установки: уличная; DVB-T/T2; Аналоговое ТВ";Antex;http://magazilla.ru/jpg_zoom1/1048880.jpg http://mzimg.com/big/a1/fcq7lngvqa1.jpg http://mzimg.com/big/n1/fcq7lnvupn1.jpg http://mzimg.com/big/e1/fcq7lye3oe1.jpg http://mzimg.com/big/11/fcq7lz14011.jpg http://mzimg.com/big/w1/fcq7lzbbmw1.jpg
ТВ антенны;1177596;ТВ антенна Remo Horizon;759;569;1;15;"Длина антенны (см): 21; Длина кабеля (м): 1.2; Усилитель; Частотный диапазон UHF (МГц): 470 – 862; Частотный диапазон VHF (МГц): 174 – 470; Коэффициент усиления (дБ): 35; Тип установки: комнатная; DVB-T/T2; Аналоговое ТВ";Remo;http://magazilla.ru/jpg_zoom1/1177596.jpg http://mzimg.com/big/r1/fi6xs34far1.jpg http://mzimg.com/big/61/fi6xs3gk961.jpg http://mzimg.com/big/21/fi6xs3lwo21.jpg
ТВ антенны;1188323;ТВ антенна Hama HD38;1071;910;1;5;"Длина антенны (см): 12; Длина кабеля (м): 1.5; Усилитель; Частотный диапазон UHF (МГц): 30 – 950; Коэффициент усиления (дБ): 38; Тип установки: комнатная; FM-радио; DVB-T/T2; Аналоговое ТВ";Hama;http://magazilla.ru/jpg_zoom1/1188323.jpg http://mzimg.com/big/q1/fin4eszmiq1.jpg http://mzimg.com/big/x1/fin4etfjsx1.jpg http://mzimg.com/big/u1/fin4etmjju1.jpg
ТВ антенны;1294348;ТВ антенна GAL AR-458;759;759;0;15;"Длина кабеля (м): 2; Частотный диапазон UHF (МГц): 470 – 862; Частотный диапазон VHF (МГц): 47 – 230; Коэффициент усиления (дБ): 28; Тип установки: комнатная; FM-радио; DVB-T/T2; Аналоговое ТВ";GAL;http://magazilla.ru/jpg_zoom1/1294348.jpg http://mzimg.com/big/e1/fnrsb1p2oe1.jpg
ТВ антенны;1294358;ТВ антенна GAL AN-825;1309;982;1;4;"Усилитель; Частотный диапазон UHF (МГц): 470 – 862; Частотный диапазон VHF (МГц): 174 – 230; Коэффициент усиления (дБ): 26; Тип установки: уличная; FM-радио; DVB-T/T2; Аналоговое ТВ";GAL;http://magazilla.ru/jpg/1294358.jpg
ТВ антенны;1294386;ТВ антенна GAL AN-815;614;522;1;9;"Усилитель; Частотный диапазон UHF (МГц): 470 – 862; Коэффициент усиления (дБ): 28; Тип установки: уличная; DVB-T/T2; Аналоговое ТВ";GAL;http://mzimg.com/big/u1/fnrtdj36mu1.jpg
ТВ антенны;1294403;ТВ антенна GAL DA-600;1419;1419;0;9;"Усилитель; Частотный диапазон UHF (МГц): 470 – 860; Частотный диапазон VHF (МГц): 40 – 230; Коэффициент усиления (дБ): 20; Тип установки: комнатная; FM-радио; DVB-T/T2; Аналоговое ТВ";GAL;http://magazilla.ru/jpg_zoom1/1294403.jpg
ТВ антенны;1294415;ТВ антенна GAL AN-830;1705;1279;1;13;"Длина антенны (см): 180; Усилитель; Частотный диапазон UHF (МГц): 470 – 862; Частотный диапазон VHF (МГц): 49 – 230; Коэффициент усиления (дБ): 33; Тип установки: уличная; FM-радио; DVB-T/T2; Аналоговое ТВ";GAL;http://magazilla.ru/jpg/1294415.jpg
ТВ тюнеры;1016661;ТВ тюнер Selenga T60;1538;1307;1;2;"Вес (г): 235; Габариты (мм): 90x25x60; Подключение выносного ИК-датчика; Пульт ДУ; USB; HDMI: 1 шт; композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 480i, 480p, 576i, 576p, 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер";Selenga;http://magazilla.ru/jpg_zoom1/1016661.jpg http://mzimg.com/big/81/fb835wc8j81.jpg http://mzimg.com/big/n1/fb836i1x6n1.jpg http://mzimg.com/big/t1/fb836q05zt1.jpg http://mzimg.com/big/01/fb837hbq401.jpg
ТВ тюнеры;1016997;ТВ тюнер Selenga HD860;1731;1731;0;10;"Вес (г): 435; Габариты (мм): 148x35x82; Подключение выносного ИК-датчика; Пульт ДУ; USB; HDMI: 1 шт; коаксиальный (SPDIF); композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 480i, 480p, 576i, 576p, 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер ";Selenga;http://magazilla.ru/jpg_zoom1/1016997.jpg http://mzimg.com/big/g1/fb8zb1molg1.jpg http://mzimg.com/big/21/fb8zb81qo21.jpg http://mzimg.com/big/51/fb8zbdac951.jpg http://mzimg.com/big/v1/fb8zdc7mdv1.jpg
ТВ тюнеры;1017044;ТВ тюнер Selenga T71;2091;1568;1;3;"Вес (г): 373; Габариты (мм): 115x22x83; Подключение выносного ИК-датчика; Пульт ДУ; USB; HDMI: 1 шт; композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 480i, 480p, 576i, 576p, 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер ";Selenga;http://magazilla.ru/jpg_zoom1/1017044.jpg http://mzimg.com/big/k1/fb8zqu6unk1.jpg http://mzimg.com/big/l1/fb8zr2bfpl1.jpg http://mzimg.com/big/21/fb8zrbkmy21.jpg
ТВ тюнеры;1017049;ТВ тюнер Selenga HD80;1419;1206;1;8;"Вес (г): 375; Габариты (мм): 143x30x82; Подключение выносного ИК-датчика; Пульт ДУ; USB; HDMI: 1 шт; композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 480i, 480p, 576i, 576p, 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер";Selenga;http://magazilla.ru/jpg_zoom1/1017049.jpg http://mzimg.com/big/81/fb9019poh81.jpg http://mzimg.com/big/d1/fb901lmwcd1.jpg http://mzimg.com/big/m1/fb901uwflm1.jpg
ТВ тюнеры;1102704;ТВ тюнер Signal GI-777;760;760;0;3;"Габариты (мм): 120x90x32; Пульт ДУ; USB; HDMI: 1 шт; композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер";Signal;http://magazilla.ru/jpg_zoom1/1102704.jpg http://mzimg.com/big/t1/ff18rf9x5t1.jpg http://mzimg.com/big/21/ff18rfmy521.jpg
ТВ тюнеры;1102721;ТВ тюнер Signal HD-300;870;653;1;6;"Габариты (мм): 148x95x32; Пульт ДУ; USB; HDMI: 1 шт; композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер";Signal;http://magazilla.ru/jpg_zoom1/1102721.jpg
ТВ тюнеры;1102730;ТВ тюнер Signal HD-515;1222;1039;1;5;"Габариты (мм): 130x90x35; Пульт ДУ; USB; HDMI: 1 шт; коаксиальный (SPDIF); композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер";Signal;http://magazilla.ru/jpg_zoom1/1102730.jpg
ТВ тюнеры;1102766;ТВ тюнер Signal HD-555;854;854;0;4;"Габариты (мм): 132x75x30; Пульт ДУ; USB; HDMI: 1 шт; коаксиальный (SPDIF); композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 720p, 1080i, 1080p; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер";Signal;http://magazilla.ru/jpg_zoom1/1102766.jpg
ТВ тюнеры;1102847;ТВ тюнер Aver Media Live Gamer Extreme;10439;7829;1;6;"Вес (г): 182; Габариты (мм): 145x97x29; USB; HDMI: 2 шт; компонентный; Time shift; Запись видео; Разрешение видео: 720i, 720p, 1080i, 1080p; Тип: устройство видеозахвата";Aver Media;http://magazilla.ru/jpg_zoom1/1102847.jpg http://mzimg.com/big/z1/ff1bnweqgz1.jpg http://mzimg.com/big/01/ff1bnwpya01.jpg http://mzimg.com/big/h1/ff1bnwueqh1.jpg http://mzimg.com/big/71/ff1bnx1ki71.jpg
ТВ тюнеры;1177840;ТВ тюнер BBK SMP021HDT2;832;707;1;10;"Вес (г): 100; Габариты (мм): 105x26x83; Пульт ДУ; USB; HDMI: 1 шт; коаксиальный (SPDIF); композитный; Телетекст; Телегид; Time shift; Запись видео; Разрешение видео: 480i, 480p, 576i, 576p, 720p, 1080i; DVB-T2 (эфирное); DVB-T (эфирное); Тип: внешний тюнер";BBK;http://magazilla.ru/jpg_zoom1/1177840.jpg
