category;article;title;price;discount_price;discount_sign;in_stock;description;brand;url_image
Медиаплееры;1154792;Медиаплеер inVin X92 3Gb;7257;5443;1;7;"Охлаждение: пассивная (без вентилятора); Входы: LAN; оптический; Выходы: композитный; Wi-Fi; Мультимедиа: картридер; социальные сети; фото-сервисы; видео-сервисы; Онлайн радио; Онлайн ТВ; IPTV; BitTorrent клиент; Функции/возможности: Интернет-браузер; Объем накопителя (Гб): 32; Поддержка 3D; ОС Android";inVin;http://magazilla.ru/jpg_zoom1/1154792.jpg http://mzimg.com/big/s1/fhbax26xks1.jpg http://mzimg.com/big/11/fhbax2moe11.jpg http://mzimg.com/big/h1/fhbax2tihh1.jpg http://mzimg.com/big/u1/fhbax303eu1.jpg
Медиаплееры;1154801;Медиаплеер inVin CSA93;8569;7284;1;12;"Охлаждение: пассивная (без вентилятора); Входы: LAN; оптический; Выходы: композитный; Wi-Fi; Мультимедиа: картридер; социальные сети; фото-сервисы; видео-сервисы; Онлайн радио; Онлайн ТВ; IPTV; BitTorrent клиент; Функции/возможности: Интернет-браузер; Объем накопителя (Гб): 16; Поддержка 3D; ОС Android";inVin;http://magazilla.ru/jpg_zoom1/1154801.jpg http://mzimg.com/big/i1/fhbb9p714i1.jpg http://mzimg.com/big/i1/fhbb9pfhji1.jpg http://mzimg.com/big/y1/fhbb9pn0hy1.jpg http://mzimg.com/big/31/fhbb9ptnx31.jpg
Медиаплееры;1154809;Медиаплеер inVin CSA96;12373;12373;0;4;"Охлаждение: пассивная (без вентилятора); Входы: LAN; оптический; Выходы: композитный; Wi-Fi; Мультимедиа: картридер; социальные сети; фото-сервисы; видео-сервисы; Онлайн радио; Онлайн ТВ; IPTV; BitTorrent клиент; Функции/возможности: Интернет-браузер; Объем накопителя (Гб): 32; Поддержка 3D; ОС Android";inVin;http://magazilla.ru/jpg_zoom1/1154809.jpg http://mzimg.com/big/r1/fhbbkqqb3r1.jpg http://mzimg.com/big/71/fhbbkr4j571.jpg http://mzimg.com/big/b1/fhbbkraz3b1.jpg http://mzimg.com/big/x1/fhbbkrg98x1.jpg http://mzimg.com/big/p1/fhbbkrn6dp1.jpg http://mzimg.com/big/j1/fhbbkrudjj1.jpg
Очки виртуальной реальности;1000567;Очки виртуальной реальности VR Case RK5;2328;1746;1;10;"Вес (г): 399; Крепление на голову; Настройка межзрачкового расстояния; Настройка расстояния линз; Угол обзора (°): 70; Макс. диагональ телефона (""): 6; Источник сигнала: телефон";VR;http://magazilla.ru/jpg_zoom1/1000567.jpg http://mzimg.com/big/l1/fakwqe5s1l1.jpg http://mzimg.com/big/w1/fakwqk5vmw1.jpg http://mzimg.com/big/c1/fakwqq01kc1.jpg http://mzimg.com/big/j1/fakwqx9ofj1.jpg http://mzimg.com/big/81/fakwra0bl81.jpg http://mzimg.com/big/71/fakwrgn8e71.jpg http://mzimg.com/big/s1/fakwrmwgvs1.jpg http://mzimg.com/big/g1/fakwrt1bjg1.jpg
Очки виртуальной реальности;1000765;Очки виртуальной реальности VR Case RK3;2279;1937;1;9;"Вес (г): 392; Крепление на голову; Настройка межзрачкового расстояния; Настройка расстояния линз; Угол обзора (°): 70; Макс. диагональ телефона (""): 6; Источник сигнала: телефон";VR;http://magazilla.ru/jpg_zoom1/1000765.jpg http://mzimg.com/big/u1/fakxdsmcju1.jpg http://mzimg.com/big/51/fakxe5gs551.jpg http://mzimg.com/big/g1/fakxedibjg1.jpg
Очки виртуальной реальности;1047297;Очки виртуальной реальности VR Shinecon G01;737;737;0;7;"Крепление на голову; Настройка межзрачкового расстояния; Настройка расстояния линз; Угол обзора (°): 90; Макс. диагональ телефона (""): 6; Источник сигнала: телефон";VR Shinecon;http://magazilla.ru/jpg_zoom1/1047297.jpg http://mzimg.com/big/c1/fclmp9jtpc1.jpg http://mzimg.com/big/l1/fclmpa1usl1.jpg http://mzimg.com/big/b1/fclmpacqfb1.jpg http://mzimg.com/big/e1/fclmpan8le1.jpg http://mzimg.com/big/21/fclmpav4n21.jpg
Очки виртуальной реальности;1047310;Очки виртуальной реальности VR Shinecon G02;1793;1345;1;3;"Вес (г): 350; Крепление на голову; Настройка межзрачкового расстояния; Настройка расстояния линз; Угол обзора (°): 110; Макс. диагональ телефона (""): 6; Источник сигнала: телефон";VR Shinecon;http://magazilla.ru/jpg_zoom1/1047310.jpg http://mzimg.com/big/n1/fclnaprvgn1.jpg http://mzimg.com/big/u1/fclnaq6leu1.jpg http://mzimg.com/big/a1/fclnaqe0fa1.jpg
Очки виртуальной реальности;1047333;Очки виртуальной реальности VR Shinecon G03;1620;1377;1;12;"Вес (г): 242; Крепление на голову; Настройка межзрачкового расстояния; Настройка расстояния линз; Угол обзора (°): 110; Макс. диагональ телефона (""): 6; Источник сигнала: телефон";VR Shinecon;http://magazilla.ru/jpg_zoom1/1047333.jpg http://mzimg.com/big/01/fclol61of01.jpg http://mzimg.com/big/31/fclon47zl31.jpg
Очки виртуальной реальности;1081096;Очки виртуальной реальности Homido Grab;1085;1085;0;12;"Вес (г): 240; Магнитная кнопка; Угол обзора (°): 100; Макс. диагональ телефона (""): 5.7; Источник сигнала: телефон ";Homido;http://magazilla.ru/jpg_zoom1/1081096.jpg http://mzimg.com/big/71/fe2rloflx71.jpg http://mzimg.com/big/91/fe2rloyuu91.jpg http://mzimg.com/big/71/fe2rlp8fw71.jpg http://mzimg.com/big/p1/fe2rlpfr6p1.jpg http://mzimg.com/big/h1/fe2rlpnrfh1.jpg http://mzimg.com/big/u1/fe2rlpueku1.jpg http://mzimg.com/big/01/fe2rlpz1f01.jpg http://mzimg.com/big/z1/fe2rlq3qpz1.jpg http://mzimg.com/big/l1/fe2rlq9bql1.jpg http://mzimg.com/big/31/fe2rlqh5931.jpg http://mzimg.com/big/u1/fe2rlqpinu1.jpg http://mzimg.com/big/l1/fe2rlqzc0l1.jpg http://mzimg.com/big/d1/fe2rlr4dyd1.jpg http://mzimg.com/big/y1/fe2rlradsy1.jpg http://mzimg.com/big/i1/fe2rlrhp5i1.jpg http://mzimg.com/big/c1/fe2rlrpkvc1.jpg http://mzimg.com/big/w1/fe2rlrwqpw1.jpg http://mzimg.com/big/31/fe2rls3pl31.jpg http://mzimg.com/big/e1/fe2rlsdxde1.jpg http://mzimg.com/big/21/fe2rlslqt21.jpg http://mzimg.com/big/x1/fe2rlsv92x1.jpg http://mzimg.com/big/c1/fe2roo3wqc1.jpg http://mzimg.com/big/y1/fe2roo9mwy1.jpg http://mzimg.com/big/d1/fe2roofahd1.jpg
Очки виртуальной реальности;1081152;Очки виртуальной реальности Homido V2;4166;3125;1;7;"Вес (г): 340; Крепление на голову; Магнитная кнопка; Настройка межзрачкового расстояния; Настройка расстояния линз; Угол обзора (°): 105; Макс. диагональ телефона (""): 6; Источник сигнала: телефон ";Homido;http://magazilla.ru/jpg_zoom1/1081152.jpg http://mzimg.com/big/r1/fe2sal3djr1.jpg http://mzimg.com/big/h1/fe2saliofh1.jpg http://mzimg.com/big/h1/fe2salrzoh1.jpg http://mzimg.com/big/n1/fe2sam0ien1.jpg
